External19 00020.wav,所以所以不是我个人的感情，啊是为了大家着想，嗯没错。
External19 00021.wav,那是因为你对占星术有太多不切实际的幻想了吧。
External19 00022.wav,真是意外。
External19 00023.wav,这片土地的领主。
External19 00024.wav,完成质量还不错吗？算是抓住了这道料理的精髓。
External19 00025.wav,啊那群人风之一的知识，说不定是怪鸟的同伙吧。
External19 00026.wav,呵呵。
External19 00027.wav,发生了什么？怎么出动了这么多人？
External19 00028.wav,
External19 00029.wav,先祖法退。
External19 00030.wav,谢谢谢谢。
External19 00031.wav,付老板像这种珍贵的东西一定要好好保管，下次可能就没这么好运了。
External19 00032.wav,敌袭。各位准备迎战。
External19 00033.wav,都留够久了吧，再不活动活动筋骨要长出蘑菇来了。
External19 00034.wav,这些好像全都是易燃品啊。
External19 00035.wav,那个小女孩叫什么名字呢？
External19 00036.wav,二是丘丘人。
External19 00037.wav,等一下完全搞不明白。
External19 00038.wav,深渊教团已经到城门外了，居然还有闲情在这里喝酒。
External19 00039.wav,嗯有神之地3700年的历史厚度，在七国中意识最深。
External19 00040.wav,我想想今天有没有晒衣服出去。
External19 00041.wav,唉真不好意思。请随意坐吧。需要点菜可以叫我。
External19 00042.wav,唉买唱片。
External19 00043.wav,嗯属于人类。
External19 00044.wav,而是永远定格在伤痕累累的战士模样，束缚着他所有的人生。
External19 00045.wav,偷东西被抓住了，也没什么愿望吧。
External19 00046.wav,我有不好的预感。
External19 00047.wav,嘟嘟娃娃。伤脑筋呢。我有做了什么让你这么不开心的事吗？
External19 00048.wav,想要治愈大家，就是这么简单的心情，让我成为了牧师，要是能帮上大家就好了。
External19 00049.wav,你们是昨天回来的吧。秦团长比你们先回蒙德，你们的事迹他都已经告诉大家了。
External19 00050.wav,你已经完成了冒险家协会承接的委托，委托人都让我向你道歉呢。
External19 00051.wav,其实有些人喜欢拿智慧来骗人而已。
External19 00052.wav,
External19 00053.wav,
External19 00054.wav,本以为是妖物作祟，我才过来看看。
External19 00055.wav,唉与我无关了。
External19 00056.wav,我也不属于这里。
External19 00057.wav,我居然沦落到如此闲散的地步。可笑。
External19 00058.wav,
External19 00059.wav,你有所不知，根据传统，若将不同的霓裳花分别做成香糕，供奉在七天神像前，闫王娣军便为自己作出选择。
External19 00060.wav,我先走一步去找食材了。在离这等你们。
External19 00061.wav,
External19 00062.wav,构思死，让种子散布麻醉与止血。为了不痛。
External19 00063.wav,接着等吧。
External19 00064.wav,我的蒙德朋友每次来璃月都会带上几瓶地道的蒲公英酒。
External19 00065.wav,那我还是很愿意承认它存在的。
External19 00066.wav,在这里他们的身体要承受更大的负担。
External19 00067.wav,
External19 00068.wav,
External19 00069.wav,啊像你这样的人注定要登上吟咏诗人们传唱的诗篇。
External19 00070.wav,
External19 00071.wav,嗨你们应该早说那一次清闲点一之后，我也听到了不好的消息。
External19 00072.wav,用老鸡和猪骨小火酒煮熬制高汤，领在只取菜心的鲜嫩白菜上，我对饮食追求不深，平日里吃点这样的东西也就够了。
External19 00073.wav,嗯噢噢
External19 00074.wav,嗯我们现在的目标是。
External19 00075.wav,我不知道。除非万不得已，占星术是不会占卜自己的命运。老太婆以前说过，这种行为可能会导致命运的自相矛盾，很危险。
External19 00076.wav,没想到在这种地方找到了龙雷呢。
External19 00077.wav,那是一种印记，封神会将他送给受到认可的冒险者。
External19 00078.wav,而那时的我只是先锋中的一缕，并无神灵之隔，也不成人形。
External19 00079.wav,如此冒犯的行为，女士大人是不会容许的。
External19 00080.wav,不过我确实从现场离开了，毕竟在暗夜英雄面前，我可能只是个累赘。
External19 00081.wav,啊
External19 00082.wav,没法更进一步了呢。在这座遗迹里好像有一些非常古老的风韵。
External19 00083.wav,这点事而已。
External19 00084.wav,毕竟是我把风之翼给你的，嘛要负起责任了。秦团长一定会这么说吧。
External19 00085.wav,唉说不太好吧，你自己没东西下锅了怎么办？
External19 00086.wav,啊
External19 00087.wav,就是那口大锅了。好，球球人们好像还在用它的样子。
External19 00088.wav,啊
External19 00089.wav,同时这也是会员的证明，记得多多查看并妥善保管啊。
External19 00090.wav,等他清醒了，我会把账单给他的。
External19 00091.wav, MHM
External19 00092.wav,这里是不是过不去啊？
External19 00093.wav,唉不仅闯入虎牢山，毁坏山上琥珀，还单放了首首届的贼人。
External19 00094.wav,对啊。帮助。
External19 00095.wav,
External19 00096.wav,时候不早了。出发吧。
External19 00097.wav,喂你往哪走？呀来拍门这边。
External19 00098.wav,毕竟是拯救了蒙德成的英雄。普通的考试形式怎么配得上吗？
External19 00099.wav,但这次的威胁来自人类的世界，你们的世界，所以这是你的责任。人类旅者。
External19 00100.wav,听说侦查骑士安博之前误会你了。
External19 00101.wav,原来如此，深渊教团里有一位王子主导了腐化特瓦林的计划。
External19 00102.wav,唉
External19 00103.wav,你好兄弟姐姐。
External19 00104.wav,进出影随。
External19 00105.wav,嗯那不是秦团长吗？
External19 00106.wav,还是说只是想来看看我。
External19 00107.wav,你的幻想朋友长什么样子？给我看看。
External19 00108.wav,他说要请我们吃饭，我没听错吧？
External19 00109.wav,谢谢你啊。难得的知音，啊我是多么喜悦，居然在。
External19 00110.wav,哈哈因为我更愿意把这些趣事分享给你们。
External19 00111.wav,斯坦利，他怎么在这。
External19 00112.wav,
External19 00113.wav,
External19 00114.wav,果然你和神之眼的使用者很不一样呢，居然可以改变体内的元素形态。
External19 00115.wav,不要无视禁猎区。
External19 00116.wav,像是被人拿走了的样子，明明我就一直放在床头的。
External19 00117.wav,责令。
External19 00118.wav,
External19 00119.wav,只要他们答应帮忙，剩下的手续交给我就好。
External19 00120.wav,哈哈哈
External19 00121.wav,简单来说这东西是一种信物，让三眼无险仙人不会伤害你的信物。
External19 00122.wav,今后有什么需要可以来找我。
External19 00123.wav,对了。你带上原萃树枝了吗？
External19 00124.wav,嗯
External19 00125.wav,不是我们袭击的村子。
External19 00126.wav,唉呀你
External19 00127.wav,原来是你们就是你们在帮长久爷出头吧。
External19 00128.wav,图书馆的管理员说了这么多，还要问吗？
External19 00129.wav,啊
External19 00130.wav,小小姐。
External19 00131.wav,喜欢的食物呀唉那当然是尚且不知道味道的新菜啦。我这样回答很狡猾，嗯明明说的是实话嘛。
External19 00132.wav,真是绝了，这种人怎么还没饿死？
External19 00133.wav,雨点打在水面上的声音会把鱼儿吓跑。相比之下雨后是钓鱼的好时机。
External19 00134.wav,
External19 00135.wav,啊买东西怎么能不考虑摩拉呀。
External19 00136.wav,休息，他给我的感觉很不好。
External19 00137.wav,你绝不是想着什么天下无敌，高枕无忧，吃喝玩乐之类的事。
External19 00138.wav,
External19 00139.wav,唉这么一想，花了这么多磨了也不是那么心痛了。
External19 00140.wav,那件宝藏是装有一缕风神气息的蜜蜂小平。
External19 00141.wav,清新的花瓣很好吃，应该说特别好吃，就是因为太好吃了，所以我才不敢在御金台中他生怕哪天一个不小心就会忍不住，呃你说。特别苦，可是这不就是它的味道吗？
External19 00142.wav,那位西峰骑师团代理团长，他的命之作是幼师做，象征着力量还有过早担负的责任雄狮早早离群，但他会继续成长，直到能完全继承诗情的荣耀。
External19 00143.wav,已经进入二元世界了吗？
External19 00144.wav,这个 Yeah. 啊
External19 00145.wav,因为风是蒙德的灵魂嘛。
External19 00146.wav,嗯现在周围随便看看吧，如果我看到中医的材料，我会告诉你的。
External19 00147.wav,找到什么稀奇宝物的话，也要记得带到我这里来。
External19 00148.wav,
External19 00149.wav,需要分担情的工作吧。
External19 00150.wav,回来了吗？
External19 00151.wav,嗯
External19 00152.wav,听说对联是璃月的传统文化，有人写完上联以后会为下联悬赏千金，但因为对联很难，钱也不是那么好赚的，不仅要求字数相等，还要考虑词性相对，嗯举一个例子呢，嗯风起地风不起，嗯云南海云再来。Huh别坐着了，快点起来快点起来。我们该赚钱去了。
External19 00153.wav,但我会想办法查清楚的。
External19 00154.wav,说的对我们上。
External19 00155.wav,居然又让他跑掉了啊。
External19 00156.wav,嗯这里是李悦颜值上统治的国度，所以神像的造型不同。
External19 00157.wav,啊这样说的话确实有点惭愧，啊不如下次他来的时候请他喝一杯。
External19 00158.wav,啊
External19 00159.wav,总之想要掌握飞行这种事情，7分靠技术，三分靠直觉，剩下的90分全都是靠勇气来补足了。
External19 00160.wav,这唉好吧。反正总不可能比现在更糟了。
External19 00161.wav,相邻的料理更胜一筹。
External19 00162.wav,我对你们说的还是蛮有兴趣的，可惜线索方面真的帮不上忙。
External19 00163.wav,呃
External19 00164.wav,
External19 00165.wav,海豚节的起源。听说过吗？在很久以前的战争中，璃月人会在夜里放飞明亮的灯，让厮杀的战士不迷失回家的方向，不迷失自己的心，啊这种事情如今大概已经没有人记得了。
External19 00166.wav,居然拥有与巨龙作战的力量。
External19 00167.wav,夜幕降临，灯火初上，唉哈要是安宁祥和的一天呢。
External19 00168.wav,这这是什么？原理？
External19 00169.wav,晚些时候去风起立吧，我会安排线人去赴会的。
External19 00170.wav,呵呵。
External19 00171.wav,嗯
External19 00172.wav,留下这个封印的人不简单，要暴力破解几乎是不可能的。
External19 00173.wav,
External19 00174.wav,你真的有猜过吗？
External19 00175.wav,啊呜地打。
External19 00176.wav,嗯我都听见了。
External19 00177.wav,
External19 00178.wav,接下来要说的话，可能不太符合到期幕府社奉行是李家的身份，不过就我的判断，你应该能容许我小小的任性吧，稍微有点累了，可以让我靠一下你的肩膀吗？一下就好。
External19 00179.wav,
External19 00180.wav,不行不行，我是来帮忙的。比赛要紧，比赛要紧。
External19 00181.wav, Um代理团长大人的意思是。
External19 00182.wav,呃怎么把我说的像事除了听戏遛遛，别的什么都不会的，顽固子弟一样。
External19 00183.wav,唉呀
External19 00184.wav,好了，我们大家就先忘记那个女人的所作所为吧，我是来帮助你们的。
External19 00185.wav,啊
External19 00186.wav,我明白了。我会在那里等你的消息的。
External19 00187.wav,蒙德最强战力。
External19 00188.wav,祝您用餐愉快。
External19 00189.wav,但最让我意外的是孤高的暗夜英雄居然也会接受别人的帮助。
External19 00190.wav,你们的意见呢。
External19 00191.wav,不可能啊。他们都住在清泉镇，都是我的邻居和朋友。
External19 00192.wav,提纯设备可以承受这样的纯度吗？会不会出什么问题？
External19 00193.wav,团长倒下了，在情理上也应该为他分忧，是这样吗？
External19 00194.wav, MHM明晚是吧？我会出现的。
External19 00195.wav,控制住风之翼，让风带着你飞吧。
External19 00196.wav,唉呀
External19 00197.wav,真的。谢谢大家的心意。
External19 00198.wav,啊这是为什么？
External19 00199.wav,我的旅伴也很擅长朋友，对吧对吧？
External19 00200.wav,换句话说，如果怪鸟想要逃出去，就必须从我们这边经过才行。
External19 00201.wav, Yeah. I love you. 是
External19 00202.wav,果然那个是
External19 00203.wav,你看这里。
External19 00204.wav,我说那么别学我说话了吗？
External19 00205.wav,对啊。你在蒙德城也有一个朋友不是吗？
External19 00206.wav,
External19 00207.wav,不过这不需要您担心，就算那个长久也不卖，我从其他人手上买就行了。
External19 00208.wav,唉二位。请问有空吗？
External19 00209.wav,秦团长是好人，虽然有点可怕。
External19 00210.wav,看得上我吗？
External19 00211.wav,
External19 00212.wav,要是你累得在人类中胡皮卡，你倒是高尚的特殊之人。
External19 00213.wav,对占星术士来说，这可是基本功。
External19 00214.wav,秦团长刚才回骑士团总部了，说是要想办法找出证据。
External19 00215.wav,那些关于我的传奇故事，哈哈哈哈哈那是兄弟们看中才在夸我的时候添油加醋，不过你要问我怕不怕在出海的时候遇到什么魔物，他自然是不怕的。
External19 00216.wav,怎么说，感觉稍微有些普通。
External19 00217.wav,啊那边架子上放着的。不就是提瓦特游览指南吗？
External19 00218.wav,嘿嘿我专门做成了雨球的形状的很可爱的。
External19 00219.wav,劳逸结合是不错，但也别放松过头。
External19 00220.wav,用什么样的小手段才能打听出这些啊。
External19 00221.wav,
External19 00222.wav,存放生物的地方是上锁的，你们要找钥匙的话往前走吧，不要找我。
External19 00223.wav,嘿嘿那这样我们就是同僚了。
External19 00224.wav,是你们不瞒你们说，还真是有点头疼。
External19 00225.wav,我倒是没那么累。
External19 00226.wav,巴巴拉闪耀登场，治疗就交给我吧，不会让你失望的。
External19 00227.wav,现在是操纵不了的。因为坏了。
External19 00228.wav,要是在这里从大厅继续往前走就是了，呃可别说是我给你的啊。
External19 00229.wav,天全大人是我不得不敬重的人，不然会给家父以及家兄添麻烦哦。对他本人我想想嗯还是算了，不说人坏话了。
External19 00230.wav,嗯这种牵扯上神话的荒诞解释，无法相信也很正常。
External19 00231.wav,那么再现了。
External19 00232.wav,三种香糕都顺利完成了。住上你的工作完成得不错。
External19 00233.wav,我就把它捐给大陆东那边的姐姐了，马上他就会实现愿望了吧。
External19 00234.wav,兵贵神速。
External19 00235.wav,是啊。怎么突然问这个？
External19 00236.wav,紫色的老师是这么和我说的。
External19 00237.wav,风起滴的那座七天神像，应该就是离我们最近的一座。
External19 00238.wav,啊但我现在没有时间为你谱写新曲。
External19 00239.wav,
External19 00240.wav,是为了跟秦团长并肩作战吗？
External19 00241.wav,关于这个我们去问一下冒险家协会的凯瑟琳小姐能不能帮忙吧。
External19 00242.wav,给食客带来笑容，这就是厨师的使命啊。
External19 00243.wav,
External19 00244.wav,噢说的也对，毕竟和平来之不易嘛。
External19 00245.wav,啊啊
External19 00246.wav,听上去有点可爱呢。
External19 00247.wav,
External19 00248.wav,我想也是。
External19 00249.wav,大家嗯
External19 00250.wav,进去看看吧。要小心，龙的力量正在影响着你。
External19 00251.wav,是这样的。但是我觉得相比丘丘人还是狼群更肆无忌惮一些。
External19 00252.wav,我归运到此处后，为了山门清静，将它种植在4周。这些年为我挡了不少资料，不过也关了许多莫名的东西。
External19 00253.wav,唉难以置信啊。虽然如今解翠行有些没落，但祖祖辈辈一直多亏阎王爷或有。
External19 00254.wav,我知道我知道放心，订单我一定会完成的。
External19 00255.wav,那就蒲公英酒吧。
External19 00256.wav,
External19 00257.wav,就寻着踪迹敲敲他的目的地在哪儿吧？
External19 00258.wav,哈哈哈这一招对吟游诗人是无效的。
External19 00259.wav,我来了。
External19 00260.wav,顾名思义就是素的鲍鱼了，一点都不输给真正的鲍鱼啊。
External19 00261.wav,对啊。我明白了。
External19 00262.wav,难道怪鸟一直往前方逃走了？
External19 00263.wav,我这里有瓶饲料的好酒，有兴趣吗？
External19 00264.wav,原来是要找琴呀。
External19 00265.wav,容灾的问题解决了，我错过了代理团长的演讲。
External19 00266.wav,不出意料的怀孕期。
External19 00267.wav,没完没了了呢。
External19 00268.wav, Yeah. 
External19 00269.wav,天空之琴怎么样了？
External19 00270.wav,只是到头来解决问题的却是旅行者和一个歌手。
External19 00271.wav,我我想随便问一下，现在点的菜一共大概多少？摩拉？
External19 00272.wav,城里。
External19 00273.wav,啊指望他们吸取教训是不可能的吧。
External19 00274.wav,中原杂碎，好吃不贵？
External19 00275.wav,请稍等。我为您认真做一道最细最滑的杏仁豆腐，包您满意。
External19 00276.wav,嗨快看那边那只好像和玛格丽特小姐描述的一样。
External19 00277.wav,请问你是。
External19 00278.wav,好香啊。
External19 00279.wav,
External19 00280.wav,张艺源先生，刚才究竟发生了什么呢？
External19 00281.wav,请你注意控制炉火的火力，这是最后一步了。
External19 00282.wav,哇是不是当英雄的都要有你这么厉害的头脑。
External19 00283.wav,明明是我们在提问。
External19 00284.wav,你不觉得落尽的樱花树也很漂亮吗？有种每人持目的感觉。
External19 00285.wav,
External19 00286.wav,正常呀刚才打不哇哇圈了哦。
External19 00287.wav,
External19 00288.wav,这位先生大人一唱小歌，你先别这么冲动，等我们先问明白这个符号的来历再说吧。
External19 00289.wav,三层辉煌，已经有两层凝聚成地面了。
External19 00290.wav,嘿嘿真可靠，那我们出发吧。
External19 00291.wav,绝不拖后腿。你尽量。
External19 00292.wav,要吃点点心，休息一下吗？我准备了一摞。
External19 00293.wav,劝你放弃。
External19 00294.wav,嗯
External19 00295.wav,见到先生，为什么反而是这种想要开打的语气？
External19 00296.wav,这
External19 00297.wav,我党重先从敌军略令忽悠离远，新人间新社逐步退于山野，这本是对凡人的好意。
External19 00298.wav,行。
External19 00299.wav,他会在哪里呢？
External19 00300.wav,嘿嘿嘿谢谢威尔小姐。啦
External19 00301.wav,这里面出人意料的宽敞呢。
External19 00302.wav, Yeah. 
External19 00303.wav,在那天朗气清之时，您从那宫门外的甲板上往下一望。
External19 00304.wav,雪积起来之后就可以挖着吃了。
External19 00305.wav,噢这本书很久以前就不卖了，没什么人气。
External19 00306.wav,说不定就是为了功夫仙然。
External19 00307.wav,唉
External19 00308.wav,啊俱往矣，俱往矣。唉既然是跟阎王爷道别所用，那这像叶博时就只收半价吧。
External19 00309.wav,等到了晚上再去酒馆与迪卢克老爷会面吧。
External2 00001.wav,嗯是个无需占卜也能感觉到的好天气。
External2 00002.wav,啊
External2 00003.wav,刘黎亭和辛悦轩。你更常去哪一家？
External2 00004.wav,猫咪都喜欢玩毛线团的。呀
External2 00005.wav,整理一下现在所知的情报的话。
External2 00006.wav,往生堂是指长葬仪的组织，旨在送人安心往生。
External2 00007.wav, See. 
External2 00008.wav,材料都到手了吗？
External2 00009.wav,要吃夜宵吗？我这儿正好做了串探讨演习，唉呀别盯着了，快尝尝吧。
External2 00010.wav,可是这个请求我觉得我做不到。
External2 00011.wav,我们我们真的还要继续深入吗？
External2 00012.wav,这本神销者几路，也让我非常尽兴，麻烦你们帮我还给长久爷吧。
External2 00013.wav,唉算了。我知道你们不会是什么坏人。
External2 00014.wav,糟了，大家的衣服还晾在外面，我能不能现在回去收拾一下？
External2 00015.wav,不过怎么总觉得那个人越看越像。
External2 00016.wav,
External2 00017.wav,要是被秦发现我们在偷懒，他会不高兴的。
External2 00018.wav,侵权证的迪奥纳，啊听说他们调出特别好喝的酒，我专门拜访过他，想着如果能把调酒的秘方借鉴到料理上，说不定也能做出美味。但是它给我的秘方，比如啤酒里泡鸡尾巴，蒲公英酒里放小块薰鱼，做出来都不是很好吃，嗯果然还是要靠自己吗？
External2 00019.wav,听起来好麻烦。
External2 00020.wav,酒庄西北方向，有蒙德最好的冰雾花产地，周边地方也零零散散长了一些。
External2 00021.wav,烦恼噢璃月七星的烦恼告诉了你，你的肩膀能够承受得住吗？而且如果你不小心说出去了的话。
External2 00022.wav,遭了。
External2 00023.wav,啊最近真是越来越热闹了。
External2 00024.wav,谢谢你总是陪我一起收集研究用的材料，如果你想学习炸弹的制作方法，我也可以来教你啊。
External2 00025.wav,嗯要等多久才会有效果呢。
External2 00026.wav,万商云来，千船即至，百货迭出。珠海历来人们用这样的话来称赞李悦，但成就这样的壮景，依靠的也是细小到每一个人的努力，我是怀着要对得起这份繁荣的辛勤工作的。
External2 00027.wav,我不认为直接杀死风魔龙是正确的行为。
External2 00028.wav,哇这事情和你一起做的吧，竟然还做了这样的准备，简直是作弊呢。
External2 00029.wav,啊你们来了，不必订单，我都已经点好了。
External2 00030.wav,嗯
External2 00031.wav,这次的事实在抱歉，但请派蒙阁下放心。同样的伎俩，我是不会用两次的。
External2 00032.wav,虽说看到蒙德的生灵如此自由自在是件好事，但未免也太为所欲为了吧。
External2 00033.wav,这活也不算呢。有是我后不冒险家的身份。唉呀算了，那我就只收15,000魔拉吧怎么样？
External2 00034.wav,帮我指点一下我的恋爱运势。
External2 00035.wav,据说袭击了醉汉峡附近的车队。
External2 00036.wav,这孩子的幻想朋友竟然是一句首位。
External2 00037.wav,可利。
External2 00038.wav,300万魔。啦品质上的。
External2 00039.wav,啊疯了，居然问其他客人吃小鲁迅了。
External2 00040.wav,
External2 00041.wav,最后这类则是孤傲清冷，枝叶花排布及书开花时香气寡淡，却极为持久。是古人登山防先时偶然发现。
External2 00042.wav,寝室团要袒护这个人吗？
External2 00043.wav,这是碎掉的布片，有风元素的痕迹。
External2 00044.wav,哼罪人。
External2 00045.wav,嗯为了一己私欲，玷污先人智慧。
External2 00046.wav,之前收集了不少材料，啊我觉得现在是烧去码头看看了。
External2 00047.wav,可怕倒没什么可怕的，至少对绝大部分的人来说是这样。
External2 00048.wav,不怕不怕。
External2 00049.wav,他当年冒险用的武器是大英雄为泥沙的衣物，辉煌勇气之剑和光耀意志之盾。
External2 00050.wav,嗯
External2 00051.wav,犯规了。
External2 00052.wav,
External2 00053.wav,莫非是僵尸吗？
External2 00054.wav,你说天赋。噢假如和他做同样的研究，可能确实一辈子都没法超过他的。我研究生物炼金并没有故意要躲开他的意思，只是噢我和他恰好有不同的爱好，还有梦想，仅此而已吧。
External2 00055.wav,仙人这两个字，我老婆子可很久没有听人正经提起了。
External2 00056.wav,还是再去调查一下现场的痕迹吧。
External2 00057.wav,
External2 00058.wav,我怎么是你们救我出来的。谢谢你们。
External2 00059.wav,听着轩子诰命。
External2 00060.wav,唉够了够了。半价的话差不多正好。其实就算不够也没关系的。
External2 00061.wav,来璃月之后经常听到这个名字，好像有很多很多生意都是他们主导的。
External2 00062.wav,正是因为无法更改，不可为逆，只能接受命运才会被称之为命运。
External2 00063.wav,嗯
External2 00064.wav,实在不愧于骑士团，超星星少年之名。
External2 00065.wav,嗨亲又在勉强自己了，就不能放心交给我们吗？
External2 00066.wav,他看我老师眼巴巴的看着，就把铃铛送给我了。
External2 00067.wav, What
External2 00068.wav,哇这么重要的信息怎么不早说，啊那就再见了。我们快走。
External2 00069.wav, Yeah. 
External2 00070.wav,于是我赶忙躲了起来。
External2 00071.wav,只要将这封信带给飞云商会，他们定会出手相助。
External2 00072.wav,现在的话是这样的，很抱歉。
External2 00073.wav,所以我们的态度就是这样。
External2 00074.wav,那么暗夜英雄到底是谁呢？
External2 00075.wav,唉还真是纠缠不休，居然把我逼到了这一步，只好让我亲自来对付你们。
External2 00076.wav,要不然你也来试试。
External2 00077.wav,没错。可那些线索模糊的程度，连我都觉得对你们有些苛刻了。
External2 00078.wav,啊早知道真不该在这开客栈。
External2 00079.wav,与你同行时前进的道路变得无比清晰，就好像终于有人能依靠，这究竟是不一定是我还不够努力，绝对不能松懈，不能辜负锡锋骑士团和蒙德，但是谢谢你。
External2 00080.wav,真是大胆。
External2 00081.wav,
External2 00082.wav,真是不可思议的现象。
External2 00083.wav,男十字团队上带下来的，都是新鲜玩意儿。
External2 00084.wav,而金志伟朋友却以本来面目现身，实在谈到在下佩服。
External2 00085.wav,再把我给那位拆迁你们的人带句话，就。说
External2 00086.wav,唉
External2 00087.wav,狼平常是这样的，刚才抓到那条明显是智力有点问题。
External2 00088.wav,
External2 00089.wav,虽然不知道你要找的是不是风之神，大。
External2 00090.wav,不好意思。本店概不赊账。
External2 00091.wav,你很穷和狼一样强，喜欢和你狩猎，收获很多。
External2 00092.wav,五华是蜜。
External2 00093.wav,本来我想跟着他的队伍一起去冒险，履行女仆的责任，但大团长说我留在蒙德他才不会有后顾之忧，但团长这么器重我，我特别开心。虽然后来我知道大团长不止对我一个人说了这句话，不过其中就是其中。嘛
External2 00094.wav,不过您贵为仙石啊肯定与我们不同。
External2 00095.wav,优质的叶波时会有更加的火元素亲和力。也就是说在高温之下，光泽越亮越蓝的矿石，品相就约好。
External2 00096.wav,冻死了。
External2 00097.wav,请两位到刘黎亭小坐片刻，品尝点心，看看海景，算是我们一点不成敬意的招待。
External2 00098.wav,
External2 00099.wav,万家灯火就在眼前。人们的生活究竟是什么样的呢？唉你想要我去夜市，哈哈不不好意思，我就不去了吧。
External2 00100.wav,唉
External2 00101.wav,冷静，啊这么凶猛的植物，真的能吃吗？
External2 00102.wav,如果不是我们之前早有准备，蒙德成就会陷入危险。
External2 00103.wav,所以飞云商会唉那那早说。呀
External2 00104.wav,
External2 00105.wav,
External2 00106.wav,
External2 00107.wav,真高兴啊。唉
External2 00108.wav,口说无凭，你们自己都在李悦港感受一下，就能明白。
External2 00109.wav,这位白术老板对吧？我是于仁忠的执行官公子，不嫌弃的话，我们未来可以多多合作。
External2 00110.wav,要是被秦发现我们在偷懒，他会不高兴的。
External2 00111.wav,好了，既然事情都解决了，我们也该回郁金台了。公子先生，白术老板，七七小朋友。后会有期。
External2 00112.wav,我喜欢茶泡饭，说起来客人们看到我吃茶泡饭时的表情，真的很有趣。
External2 00113.wav,还没金星。
External2 00114.wav,谁给吃谁就是父母吗？你忘了自己是个什么东西了。
External2 00115.wav,你们这是在欺负雷泽不擅长说话。
External2 00116.wav,
External2 00117.wav,太好了，以后都会有椰奶。
External2 00118.wav,找我正式介绍，风雨蒲公英的牧歌之城，自由之都。
External2 00119.wav,噢那个老物件呢。我记得确实在我这儿，但是具体放在哪儿，我老婆子就记不清了。
External2 00120.wav,职业换线。
External2 00121.wav,一定记得要当天过来领取礼物，因为数量有限，错过了是没办法补发的。
External2 00122.wav,嗯那我们就顺着山路往下走，再留意一下周围的琥珀，找找那个人吧。
External2 00123.wav,命运的虚影。
External2 00124.wav,嗯不过也不用那么急着说给我听。
External2 00125.wav,我还不够称职。
External2 00126.wav,谢谢你刚才的支援了。这一战感觉如何？
External2 00127.wav,太阳已经出来好一会了，想快点找到妹妹的话，不打起精神来可是不行的。
External2 00128.wav,像我这样处处忙碌，有孤身一人的新手，大宝潭就是我心中的圣地。
External2 00129.wav,好不容易找到小王子，再跑了就麻烦了。快认真点。
External2 00130.wav,抱歉。我是在开玩笑的，请不要这么认真。
External2 00131.wav,他们其实都是在协会发布了委托的。
External2 00132.wav,嘿嘿是什么意思？啊
External2 00133.wav,道理是有道理的，那你要干什么呢？
External2 00134.wav,那也就意味着要全部交由骑士团来处理。
External2 00135.wav,5只眼睛叠。唉行吧？差不多就值这个价了。
External2 00136.wav,嗯有事吗？有事快说。
External2 00137.wav,才与刘宏。
External2 00138.wav,你这火打劫，亲人太深，啊你你
External2 00139.wav,啊
External2 00140.wav,是谁？
External2 00141.wav,
External2 00142.wav,只是这种程度而已，没什么值得大惊小怪的。
External2 00143.wav,嗯就像那个卖唱的掀起来的风一样的厉害手段。
External2 00144.wav,冯志印有可能出现在蒙德的任何地方，如果不够用的话就多去找找吧。
External2 00145.wav,请问你就是开采石坡的负责人吗？
External2 00146.wav,你用手指指向月亮，聪明人能明白你在指月，但不聪明的人只能看到眼前的手指，看不到月亮。
External2 00147.wav,啊
External2 00148.wav,谢谢你陪我练习，请展示我不知道的战斗技巧吧。
External2 00149.wav,身为盗贼就不要随便评论骑士的智慧喂等等。你想干什么？
External2 00150.wav,东西带来了吗？
External2 00151.wav,啊
External2 00152.wav,确切的说本职工作是对七星全体负责的秘书，而这次的临时身份是荧光小姐的特别使者。
External2 00153.wav,唉呀这些该死的野猪。
External2 00154.wav,太难看了。
External2 00155.wav,三份甜甜花和三份禽肉已经带回来了吗？我瞧瞧。
External2 00156.wav,海东姐可能会有很多好吃的。
External2 00157.wav,没事就不要去打扰小沙塘。噢会吓到他的。他擅长和各种各样的生物打交道，却唯独不怎么善于和人类相处呢。
External2 00158.wav,不会吧？连我都没听说过，第二个斯坦利。
External2 00159.wav,大爷，我正在休息，闲人勿扰。
External2 00160.wav,唉
External2 00161.wav,
External2 00162.wav,嗯我有些不便露面的理由，麻烦二位代劳了。
External2 00163.wav,月。
External2 00164.wav,但最近傅木龙经常出现，果园被摧毁，上路也受到了影响。
External2 00165.wav,对了。在一起去骑士团总部之前，我有礼物要送给你。
External2 00166.wav,我的爱好自然是看书，什么书都会看啊。你一脸坏笑看着我干什么？嗯那是我们两个知道就行了，还是不适合明面上讲，说出来就没意思了。
External2 00167.wav,一点时间用来找人。
External2 00168.wav,呵呵。确实是这样。看来你很感兴趣的样子。
External2 00169.wav,这上面记载了很多关于协会的委托和奖励的信息。
External2 00170.wav,哼感觉你的比喻很失礼，啊也有诗人。
External2 00171.wav,好了好了，真是的。在说什么呢？
External2 00172.wav,你是会制裁你们，哼忙得的诗人会有你们的下场，别心连孩童无眠的梦魇。
External2 00173.wav,呵没问题。我喜欢酒馆。
External2 00174.wav,嗯旅行者都飞了这么久了，之前都没有听说这种东西。
